run_id,timestamp,sample_id,pfas_compound,concentration_ug_l,current_a,voltage_v,energy_kwh,flow_rate_l_min,electrode_pair,temperature_c,ph
RUN-2026-014,2026-01-10T09:15:00,LEACHATE-B12,PFOS,44.376,25.56,12.37,0.0756,7.14,BDD-#1,21.91,7.33
RUN-2026-014,2026-01-10T09:20:00,LEACHATE-B12,PFOS,37.84,23.83,11.95,0.0994,6.83,BDD-#1,22.17,7.32
RUN-2026-014,2026-01-10T09:25:00,LEACHATE-B12,PFOS,31.19,24.22,11.87,0.1233,7.06,BDD-#1,22.3,7.22
RUN-2026-014,2026-01-10T09:30:00,LEACHATE-B12,PFOS,25.977,25.08,11.89,0.1482,7.03,BDD-#1,22.42,7.18
RUN-2026-014,2026-01-10T09:35:00,LEACHATE-B12,PFOS,22.071,24.81,12.16,0.1733,7.05,BDD-#1,22.5,7.13
RUN-2026-014,2026-01-10T09:40:00,LEACHATE-B12,PFOS,18.535,24.99,12.11,0.1985,7.22,BDD-#1,22.56,7.04
RUN-2026-014,2026-01-10T09:45:00,LEACHATE-B12,PFOS,15.737,24.49,12.12,0.2233,7.06,BDD-#1,22.45,7.07
RUN-2026-014,2026-01-10T09:50:00,LEACHATE-B12,PFOS,13.142,25.53,12.13,0.2491,7.17,BDD-#1,22.49,6.98
RUN-2026-014,2026-01-10T09:55:00,LEACHATE-B12,PFOS,10.98,25.47,12.64,0.2759,7.02,BDD-#1,22.74,6.95
RUN-2026-014,2026-01-10T10:00:00,LEACHATE-B12,PFOS,9.319,25.04,11.88,0.3007,7.07,BDD-#1,22.64,6.92
RUN-2026-014,2026-01-10T10:05:00,LEACHATE-B12,PFOS,7.618,25.68,11.85,0.326,7.16,BDD-#1,22.53,6.87
RUN-2026-014,2026-01-10T10:10:00,LEACHATE-B12,PFOS,6.431,25.28,11.76,0.3508,6.64,BDD-#1,22.61,6.83
RUN-2026-014,2026-01-10T10:15:00,LEACHATE-B12,PFOS,5.383,24.48,12.18,0.3757,6.92,BDD-#1,22.7,6.75
RUN-2026-014,2026-01-10T10:20:00,LEACHATE-B12,PFOS,4.543,25.22,12.34,0.4016,6.88,BDD-#1,22.96,6.68
RUN-2026-014,2026-01-10T10:25:00,LEACHATE-B12,PFOS,3.776,24.42,11.97,0.426,6.84,BDD-#1,22.97,6.65
RUN-2026-014,2026-01-10T10:30:00,LEACHATE-B12,PFOS,3.234,25.53,11.75,0.451,6.93,BDD-#1,23.1,6.52
RUN-2026-014,2026-01-10T09:00:00,LEACHATE-B12,PFHxS,54.878,25.18,11.99,0.0,6.79,BDD-#1,22.22,7.48
RUN-2026-014,2026-01-10T09:05:00,LEACHATE-B12,PFHxS,44.368,24.38,11.94,0.0243,7.16,BDD-#1,21.93,7.46
RUN-2026-014,2026-01-10T09:10:00,LEACHATE-B12,PFHxS,36.493,25.45,11.8,0.0493,7.19,BDD-#1,22.26,7.43
RUN-2026-014,2026-01-10T09:15:00,LEACHATE-B12,PFHxS,30.279,25.56,12.37,0.0756,7.14,BDD-#1,21.91,7.33
RUN-2026-014,2026-01-10T09:20:00,LEACHATE-B12,PFHxS,24.92,23.83,11.95,0.0994,6.83,BDD-#1,22.17,7.32
RUN-2026-014,2026-01-10T09:25:00,LEACHATE-B12,PFHxS,20.637,24.22,11.87,0.1233,7.06,BDD-#1,22.3,7.22
RUN-2026-014,2026-01-10T09:30:00,LEACHATE-B12,PFHxS,17.048,25.08,11.89,0.1482,7.03,BDD-#1,22.42,7.18
RUN-2026-014,2026-01-10T09:35:00,LEACHATE-B12,PFHxS,13.619,24.81,12.16,0.1733,7.05,BDD-#1,22.5,7.13
RUN-2026-014,2026-01-10T09:40:00,LEACHATE-B12,PFHxS,10.994,24.99,12.11,0.1985,7.22,BDD-#1,22.56,7.04
RUN-2026-014,2026-01-10T09:45:00,LEACHATE-B12,PFHxS,8.898,24.49,12.12,0.2233,7.06,BDD-#1,22.45,7.07
RUN-2026-014,2026-01-10T09:50:00,LEACHATE-B12,PFHxS,7.463,25.53,12.13,0.2491,7.17,BDD-#1,22.49,6.98
RUN-2026-014,2026-01-10T09:55:00,LEACHATE-B12,PFHxS,6.045,25.47,12.64,0.2759,7.02,BDD-#1,22.74,6.95
RUN-2026-014,2026-01-10T10:00:00,LEACHATE-B12,PFHxS,4.969,25.04,11.88,0.3007,7.07,BDD-#1,22.64,6.92
RUN-2026-014,2026-01-10T10:05:00,LEACHATE-B12,PFHxS,4.06,25.68,11.85,0.326,7.16,BDD-#1,22.53,6.87
RUN-2026-014,2026-01-10T10:10:00,LEACHATE-B12,PFHxS,3.34,25.28,11.76,0.3508,6.64,BDD-#1,22.61,6.83
RUN-2026-014,2026-01-10T10:15:00,LEACHATE-B12,PFHxS,2.767,24.48,12.18,0.3757,6.92,BDD-#1,22.7,6.75
RUN-2026-014,2026-01-10T10:20:00,LEACHATE-B12,PFHxS,2.245,25.22,12.34,0.4016,6.88,BDD-#1,22.96,6.68
RUN-2026-014,2026-01-10T10:25:00,LEACHATE-B12,PFHxS,1.833,24.42,11.97,0.426,6.84,BDD-#1,22.97,6.65
RUN-2026-014,2026-01-10T10:30:00,LEACHATE-B12,PFHxS,1.487,25.53,11.75,0.451,6.93,BDD-#1,23.1,6.52
RUN-2026-015,2026-01-12T09:00:00,LEACHATE-C07,PFOA,111.902,24.0,12.16,0.0,6.78,BDD-#3,21.95,7.56
RUN-2026-015,2026-01-12T09:05:00,LEACHATE-C07,PFOA,86.97,24.71,14.86,0.0306,7.16,BDD-#3,22.22,7.41
RUN-2026-015,2026-01-12T09:10:00,LEACHATE-C07,PFOA,70.89,24.97,12.02,0.0556,6.9,BDD-#3,22.23,7.37
RUN-2026-015,2026-01-12T09:15:00,LEACHATE-C07,PFOA,58.661,26.06,12.22,0.0821,7.0,BDD-#3,22.42,7.24
RUN-2026-015,2026-01-12T09:20:00,LEACHATE-C07,PFOA,48.445,25.08,12.95,0.1092,6.96,BDD-#3,22.27,7.29
RUN-2026-015,2026-01-12T09:25:00,LEACHATE-C07,PFOA,40.259,25.59,13.66,0.1383,7.08,BDD-#3,22.26,7.2
RUN-2026-015,2026-01-12T09:30:00,LEACHATE-C07,PFOA,34.161,24.7,13.39,0.1659,7.35,BDD-#3,22.4,7.17
RUN-2026-015,2026-01-12T09:35:00,LEACHATE-C07,PFOA,28.835,24.29,13.51,0.1932,7.02,BDD-#3,22.54,7.11
RUN-2026-015,2026-01-12T09:40:00,LEACHATE-C07,PFOA,25.159,24.42,13.88,0.2215,7.16,BDD-#3,22.6,7.1
RUN-2026-015,2026-01-12T09:45:00,LEACHATE-C07,PFOA,21.883,24.56,14.46,0.2511,6.49,BDD-#3,22.49,6.96
RUN-2026-015,2026-01-12T09:50:00,LEACHATE-C07,PFOA,19.29,26.28,14.3,0.2824,6.99,BDD-#3,22.74,6.93
RUN-2026-015,2026-01-12T09:55:00,LEACHATE-C07,PFOA,16.915,24.51,14.3,0.3116,6.79,BDD-#3,22.83,7.06
RUN-2026-015,2026-01-12T10:00:00,LEACHATE-C07,PFOA,15.214,25.5,15.05,0.3436,6.7,BDD-#3,23.24,6.84
RUN-2026-015,2026-01-12T10:05:00,LEACHATE-C07,PFOA,13.709,24.46,15.04,0.3742,6.78,BDD-#3,23.22,6.8
RUN-2026-015,2026-01-12T10:10:00,LEACHATE-C07,PFOA,12.26,25.56,19.46,0.4157,6.92,BDD-#3,22.88,6.89
RUN-2026-015,2026-01-12T10:15:00,LEACHATE-C07,PFOA,11.147,25.23,15.4,0.4481,7.23,BDD-#3,23.04,6.9
RUN-2026-015,2026-01-12T10:20:00,LEACHATE-C07,PFOA,10.143,24.91,18.53,0.4865,6.67,BDD-#3,22.94,6.64
RUN-2026-015,2026-01-12T10:25:00,LEACHATE-C07,PFOA,9.3,24.98,15.3,0.5184,7.01,BDD-#3,23.14,6.63
RUN-2026-015,2026-01-12T10:30:00,LEACHATE-C07,PFOA,8.514,24.61,16.58,0.5524,6.88,BDD-#3,23.35,6.62
RUN-2026-015,2026-01-12T09:00:00,LEACHATE-C07,PFOS,75.237,24.0,12.16,0.0,6.78,BDD-#3,21.95,7.56
RUN-2026-015,2026-01-12T09:05:00,LEACHATE-C07,PFOS,62.898,24.71,14.86,0.0306,7.16,BDD-#3,22.22,7.41
RUN-2026-015,2026-01-12T09:10:00,LEACHATE-C07,PFOS,54.511,24.97,12.02,0.0556,6.9,BDD-#3,22.23,7.37
RUN-2026-015,2026-01-12T09:15:00,LEACHATE-C07,PFOS,46.436,26.06,12.22,0.0821,7.0,BDD-#3,22.42,7.24
RUN-2026-015,2026-01-12T09:20:00,LEACHATE-C07,PFOS,39.652,25.08,12.95,0.1092,6.96,BDD-#3,22.27,7.29
RUN-2026-015,2026-01-12T09:25:00,LEACHATE-C07,PFOS,34.157,25.59,13.66,0.1383,7.08,BDD-#3,22.26,7.2
RUN-2026-015,2026-01-12T09:30:00,LEACHATE-C07,PFOS,29.898,24.7,13.39,0.1659,7.35,BDD-#3,22.4,7.17
RUN-2026-015,2026-01-12T09:35:00,LEACHATE-C07,PFOS,27.079,24.29,13.51,0.1932,7.02,BDD-#3,22.54,7.11
RUN-2026-015,2026-01-12T09:40:00,LEACHATE-C07,PFOS,23.916,24.42,13.88,0.2215,7.16,BDD-#3,22.6,7.1
RUN-2026-015,2026-01-12T09:45:00,LEACHATE-C07,PFOS,21.508,24.56,14.46,0.2511,6.49,BDD-#3,22.49,6.96
RUN-2026-015,2026-01-12T09:50:00,LEACHATE-C07,PFOS,18.993,26.28,14.3,0.2824,6.99,BDD-#3,22.74,6.93
RUN-2026-015,2026-01-12T09:55:00,LEACHATE-C07,PFOS,17.723,24.51,14.3,0.3116,6.79,BDD-#3,22.83,7.06
RUN-2026-015,2026-01-12T10:00:00,LEACHATE-C07,PFOS,16.114,25.5,15.05,0.3436,6.7,BDD-#3,23.24,6.84
RUN-2026-015,2026-01-12T10:05:00,LEACHATE-C07,PFOS,14.568,24.46,15.04,0.3742,6.78,BDD-#3,23.22,6.8
RUN-2026-015,2026-01-12T10:10:00,LEACHATE-C07,PFOS,13.532,25.56,19.46,0.4157,6.92,BDD-#3,22.88,6.89
RUN-2026-015,2026-01-12T10:15:00,LEACHATE-C07,PFOS,12.64,25.23,15.4,0.4481,7.23,BDD-#3,23.04,6.9
RUN-2026-015,2026-01-12T10:20:00,LEACHATE-C07,PFOS,11.747,24.91,18.53,0.4865,6.67,BDD-#3,22.94,6.64
RUN-2026-015,2026-01-12T10:25:00,LEACHATE-C07,PFOS,10.948,24.98,15.3,0.5184,7.01,BDD-#3,23.14,6.63
RUN-2026-015,2026-01-12T10:30:00,LEACHATE-C07,PFOS,10.298,24.61,16.58,0.5524,6.88,BDD-#3,23.35,6.62
RUN-2026-015,2026-01-12T09:00:00,LEACHATE-C07,PFHxS,54.861,24.0,12.16,0.0,6.78,BDD-#3,21.95,7.56
RUN-2026-015,2026-01-12T09:05:00,LEACHATE-C07,PFHxS,45.099,24.71,14.86,0.0306,7.16,BDD-#3,22.22,7.41
RUN-2026-015,2026-01-12T09:10:00,LEACHATE-C07,PFHxS,37.848,24.97,12.02,0.0556,6.9,BDD-#3,22.23,7.37
RUN-2026-015,2026-01-12T09:15:00,LEACHATE-C07,PFHxS,30.435,26.06,12.22,0.0821,7.0,BDD-#3,22.42,7.24
RUN-2026-015,2026-01-12T09:20:00,LEACHATE-C07,PFHxS,26.369,25.08,12.95,0.1092,6.96,BDD-#3,22.27,7.29
RUN-2026-015,2026-01-12T09:25:00,LEACHATE-C07,PFHxS,22.623,25.59,13.66,0.1383,7.08,BDD-#3,22.26,7.2
RUN-2026-015,2026-01-12T09:30:00,LEACHATE-C07,PFHxS,19.531,24.7,13.39,0.1659,7.35,BDD-#3,22.4,7.17
RUN-2026-015,2026-01-12T09:35:00,LEACHATE-C07,PFHxS,16.874,24.29,13.51,0.1932,7.02,BDD-#3,22.54,7.11
RUN-2026-015,2026-01-12T09:40:00,LEACHATE-C07,PFHxS,14.591,24.42,13.88,0.2215,7.16,BDD-#3,22.6,7.1
RUN-2026-015,2026-01-12T09:45:00,LEACHATE-C07,PFHxS,13.166,24.56,14.46,0.2511,6.49,BDD-#3,22.49,6.96
RUN-2026-015,2026-01-12T09:50:00,LEACHATE-C07,PFHxS,11.881,26.28,14.3,0.2824,6.99,BDD-#3,22.74,6.93
RUN-2026-015,2026-01-12T09:55:00,LEACHATE-C07,PFHxS,10.305,24.51,14.3,0.3116,6.79,BDD-#3,22.83,7.06
RUN-2026-015,2026-01-12T10:00:00,LEACHATE-C07,PFHxS,9.519,25.5,15.05,0.3436,6.7,BDD-#3,23.24,6.84
RUN-2026-015,2026-01-12T10:05:00,LEACHATE-C07,PFHxS,8.534,24.46,15.04,0.3742,6.78,BDD-#3,23.22,6.8
RUN-2026-015,2026-01-12T10:10:00,LEACHATE-C07,PFHxS,7.807,25.56,19.46,0.4157,6.92,BDD-#3,22.88,6.89
RUN-2026-015,2026-01-12T10:15:00,LEACHATE-C07,PFHxS,7.09,25.23,15.4,0.4481,7.23,BDD-#3,23.04,6.9
RUN-2026-015,2026-01-12T10:20:00,LEACHATE-C07,PFHxS,6.584,24.91,18.53,0.4865,6.67,BDD-#3,22.94,6.64
RUN-2026-015,2026-01-12T10:25:00,LEACHATE-C07,PFHxS,6.199,24.98,15.3,0.5184,7.01,BDD-#3,23.14,6.63
RUN-2026-015,2026-01-12T10:30:00,LEACHATE-C07,PFHxS,5.726,24.61,16.58,0.5524,6.88,BDD-#3,23.35,6.62
RUN-2026-016,2026-01-14T09:00:00,LEACHATE-A03,PFOA,107.808,26.04,11.65,0.0,7.15,BDD-#2,22.0,7.43
RUN-2026-016,2026-01-14T09:05:00,LEACHATE-A03,PFOA,86.698,25.71,11.84,0.0254,6.6,BDD-#2,22.25,7.33
RUN-2026-016,2026-01-14T09:10:00,LEACHATE-A03,PFOA,69.1,25.26,12.45,0.0516,7.37,BDD-#2,22.24,7.4
RUN-2026-016,2026-01-14T09:15:00,LEACHATE-A03,PFOA,54.7,26.05,12.19,0.0781,7.09,BDD-#2,22.29,7.33
RUN-2026-016,2026-01-14T09:20:00,LEACHATE-A03,PFOA,44.419,25.26,11.79,0.1029,7.21,BDD-#2,22.31,7.32
RUN-2026-016,2026-01-14T09:25:00,LEACHATE-A03,PFOA,35.979,25.5,11.7,0.1277,6.86,BDD-#2,22.63,7.29
RUN-2026-016,2026-01-14T09:30:00,LEACHATE-A03,PFOA,28.435,24.82,12.01,0.1526,7.2,BDD-#2,22.3,7.21
RUN-2026-016,2026-01-14T09:35:00,LEACHATE-A03,PFOA,22.816,25.04,11.64,0.1768,7.27,BDD-#2,22.09,7.19
RUN-2026-016,2026-01-14T09:40:00,LEACHATE-A03,PFOA,23.019,24.58,11.8,0.201,0.23,BDD-#2,22.69,5.71
RUN-2026-016,2026-01-14T09:45:00,LEACHATE-A03,PFOA,23.073,25.59,12.09,0.2268,0.22,BDD-#2,22.43,5.68
RUN-2026-016,2026-01-14T09:50:00,LEACHATE-A03,PFOA,22.755,24.29,12.35,0.2518,0.32,BDD-#2,22.57,5.56
RUN-2026-016,2026-01-14T09:55:00,LEACHATE-A03,PFOA,23.079,25.47,12.18,0.2777,0.38,BDD-#2,22.81,5.54
RUN-2026-016,2026-01-14T10:00:00,LEACHATE-A03,PFOA,18.2,24.89,11.31,0.3011,6.96,BDD-#2,22.43,6.91
RUN-2026-016,2026-01-14T10:05:00,LEACHATE-A03,PFOA,14.398,25.7,12.09,0.327,6.96,BDD-#2,22.53,6.89
RUN-2026-016,2026-01-14T10:10:00,LEACHATE-A03,PFOA,11.525,25.45,12.02,0.3525,7.1,BDD-#2,22.54,6.78
RUN-2026-016,2026-01-14T10:15:00,LEACHATE-A03,PFOA,9.121,26.09,12.12,0.3789,7.25,BDD-#2,22.71,6.78
RUN-2026-016,2026-01-14T10:20:00,LEACHATE-A03,PFOA,7.327,25.44,12.48,0.4053,6.74,BDD-#2,22.95,6.69
RUN-2026-016,2026-01-14T10:25:00,LEACHATE-A03,PFOA,5.882,24.06,11.38,0.4282,6.97,BDD-#2,23.02,6.64
RUN-2026-016,2026-01-14T10:30:00,LEACHATE-A03,PFOA,4.752,24.96,11.82,0.4528,7.37,BDD-#2,23.04,6.64
RUN-2026-016,2026-01-14T09:00:00,LEACHATE-A03,PFOS,76.291,26.04,11.65,0.0,7.15,BDD-#2,22.0,7.43
RUN-2026-016,2026-01-14T09:05:00,LEACHATE-A03,PFOS,62.089,25.71,11.84,0.0254,6.6,BDD-#2,22.25,7.33
RUN-2026-016,2026-01-14T09:10:00,LEACHATE-A03,PFOS,53.059,25.26,12.45,0.0516,7.37,BDD-#2,22.24,7.4
RUN-2026-016,2026-01-14T09:15:00,LEACHATE-A03,PFOS,43.905,26.05,12.19,0.0781,7.09,BDD-#2,22.29,7.33
RUN-2026-016,2026-01-14T09:20:00,LEACHATE-A03,PFOS,37.421,25.26,11.79,0.1029,7.21,BDD-#2,22.31,7.32
RUN-2026-016,2026-01-14T09:25:00,LEACHATE-A03,PFOS,31.224,25.5,11.7,0.1277,6.86,BDD-#2,22.63,7.29
RUN-2026-016,2026-01-14T09:30:00,LEACHATE-A03,PFOS,25.765,24.82,12.01,0.1526,7.2,BDD-#2,22.3,7.21
RUN-2026-016,2026-01-14T09:35:00,LEACHATE-A03,PFOS,22.236,25.04,11.64,0.1768,7.27,BDD-#2,22.09,7.19
RUN-2026-016,2026-01-14T09:40:00,LEACHATE-A03,PFOS,21.899,24.58,11.8,0.201,0.23,BDD-#2,22.69,5.71
RUN-2026-016,2026-01-14T09:45:00,LEACHATE-A03,PFOS,21.914,25.59,12.09,0.2268,0.22,BDD-#2,22.43,5.68
RUN-2026-016,2026-01-14T09:50:00,LEACHATE-A03,PFOS,21.796,24.29,12.35,0.2518,0.32,BDD-#2,22.57,5.56
RUN-2026-016,2026-01-14T09:55:00,LEACHATE-A03,PFOS,21.888,25.47,12.18,0.2777,0.38,BDD-#2,22.81,5.54
RUN-2026-016,2026-01-14T10:00:00,LEACHATE-A03,PFOS,18.574,24.89,11.31,0.3011,6.96,BDD-#2,22.43,6.91
RUN-2026-016,2026-01-14T10:05:00,LEACHATE-A03,PFOS,15.496,25.7,12.09,0.327,6.96,BDD-#2,22.53,6.89
RUN-2026-016,2026-01-14T10:10:00,LEACHATE-A03,PFOS,13.076,25.45,12.02,0.3525,7.1,BDD-#2,22.54,6.78
RUN-2026-016,2026-01-14T10:15:00,LEACHATE-A03,PFOS,10.98,26.09,12.12,0.3789,7.25,BDD-#2,22.71,6.78
RUN-2026-016,2026-01-14T10:20:00,LEACHATE-A03,PFOS,9.306,25.44,12.48,0.4053,6.74,BDD-#2,22.95,6.69
RUN-2026-016,2026-01-14T10:25:00,LEACHATE-A03,PFOS,7.683,24.06,11.38,0.4282,6.97,BDD-#2,23.02,6.64
RUN-2026-016,2026-01-14T10:30:00,LEACHATE-A03,PFOS,6.376,24.96,11.82,0.4528,7.37,BDD-#2,23.04,6.64
RUN-2026-016,2026-01-14T09:00:00,LEACHATE-A03,PFHxS,55.587,26.04,11.65,0.0,7.15,BDD-#2,22.0,7.43
RUN-2026-016,2026-01-14T09:05:00,LEACHATE-A03,PFHxS,44.881,25.71,11.84,0.0254,6.6,BDD-#2,22.25,7.33
RUN-2026-016,2026-01-14T09:10:00,LEACHATE-A03,PFHxS,37.279,25.26,12.45,0.0516,7.37,BDD-#2,22.24,7.4
RUN-2026-016,2026-01-14T09:15:00,LEACHATE-A03,PFHxS,30.3,26.05,12.19,0.0781,7.09,BDD-#2,22.29,7.33
RUN-2026-016,2026-01-14T09:20:00,LEACHATE-A03,PFHxS,24.681,25.26,11.79,0.1029,7.21,BDD-#2,22.31,7.32
RUN-2026-016,2026-01-14T09:25:00,LEACHATE-A03,PFHxS,20.304,25.5,11.7,0.1277,6.86,BDD-#2,22.63,7.29
RUN-2026-016,2026-01-14T09:30:00,LEACHATE-A03,PFHxS,16.889,24.82,12.01,0.1526,7.2,BDD-#2,22.3,7.21
RUN-2026-016,2026-01-14T09:35:00,LEACHATE-A03,PFHxS,13.845,25.04,11.64,0.1768,7.27,BDD-#2,22.09,7.19
RUN-2026-016,2026-01-14T09:40:00,LEACHATE-A03,PFHxS,13.572,24.58,11.8,0.201,0.23,BDD-#2,22.69,5.71
RUN-2026-016,2026-01-14T09:45:00,LEACHATE-A03,PFHxS,13.585,25.59,12.09,0.2268,0.22,BDD-#2,22.43,5.68
RUN-2026-016,2026-01-14T09:50:00,LEACHATE-A03,PFHxS,13.709,24.29,12.35,0.2518,0.32,BDD-#2,22.57,5.56
RUN-2026-016,2026-01-14T09:55:00,LEACHATE-A03,PFHxS,13.448,25.47,12.18,0.2777,0.38,BDD-#2,22.81,5.54
RUN-2026-016,2026-01-14T10:00:00,LEACHATE-A03,PFHxS,11.141,24.89,11.31,0.3011,6.96,BDD-#2,22.43,6.91
RUN-2026-016,2026-01-14T10:05:00,LEACHATE-A03,PFHxS,9.089,25.7,12.09,0.327,6.96,BDD-#2,22.53,6.89
RUN-2026-016,2026-01-14T10:10:00,LEACHATE-A03,PFHxS,7.467,25.45,12.02,0.3525,7.1,BDD-#2,22.54,6.78
RUN-2026-016,2026-01-14T10:15:00,LEACHATE-A03,PFHxS,6.043,26.09,12.12,0.3789,7.25,BDD-#2,22.71,6.78
RUN-2026-016,2026-01-14T10:20:00,LEACHATE-A03,PFHxS,4.91,25.44,12.48,0.4053,6.74,BDD-#2,22.95,6.69
RUN-2026-016,2026-01-14T10:25:00,LEACHATE-A03,PFHxS,4.0,24.06,11.38,0.4282,6.97,BDD-#2,23.02,6.64
RUN-2026-016,2026-01-14T10:30:00,LEACHATE-A03,PFHxS,3.307,24.96,11.82,0.4528,7.37,BDD-#2,23.04,6.64
